Instance,Best Objective,Avg Objective,Avg Time (s)
U_40_0.5_Num_5_pd.txt,377.68,377.68,17.701605081558228
U_40_1.0_Num_1_pd.txt,473.1599999999999,473.1599999999999,20.154558420181274
U_40_1.0_Num_2_pd.txt,512.6400000000001,512.6400000000001,19.611358880996704
U_40_1.0_Num_3_pd.txt,531.24,531.24,19.91310405731201
U_40_1.0_Num_4_pd.txt,532.68,532.68,19.181874990463257
U_40_1.0_Num_5_pd.txt,471.32,471.32,18.46920680999756
U_40_1.5_Num_1_pd.txt,622.9200000000001,622.9200000000001,19.55092167854309
U_40_1.5_Num_2_pd.txt,595.0,595.0,19.050498485565186
U_40_1.5_Num_3_pd.txt,647.1600000000001,647.1600000000001,18.061761379241943
U_40_1.5_Num_4_pd.txt,633.52,633.52,18.406424283981323
